SMILES,dockscore
NC[C@@H](Nc1nc2cccc(F)c2s1)C1CCCC1,-15.12
CCOc1ccccc1CNC(=O)N[C@@H](C(=O)O)c1cccs1,-51.9
C[C@H]1Oc2cc(F)ccc2[C@H]1NC(=O)N(C)Cc1nccn1C,-29.76
C[C@H]1CN(Cc2nnc(C3CC3)o2)C[C@H](C)N1C(=O)OC(C)(C)C,-40.74
CCCCOCCNC(=O)Nc1c2c(ccc1OC)CCC2,-18.14
Cc1n[nH]c(C)c1[C@@H](C)CC(=O)Nc1cc([C@@H]2CCCO2)nn1C,-29.63
CCOC(=O)c1c(C)c(C)sc1NC(=O)c1coc(C(N)=O)c1,-30.64
CCOC(=O)C[C@@H](O)C(=O)NC[C@@H](C1CC1)N(C)C,-10.71
Cc1nc2n(n1)C[C@@H](NC(=O)C(C)(C)Oc1ccc(F)cc1)CC2,-34.2
O=C(c1cccc(-n2cccn2)n1)N1CCC(OC2CCC2)CC1,-37.46
CCn1ccnc1[C@@H]1CCCCN1C(=O)C1CN(CC(F)(F)F)C1,-28.34
CC[C@H](C)CC(=O)N1CCC[C@H]1COc1ccccc1,-29.43
Cc1[nH]nc2ncc(CNC(C)(C)CCN3CCCCCC3)cc12,-34.74
CO[C@@H]1COCC[C@H]1CC(=O)N([C@H](C)C(C)C)C1CC1,-14.85
C[C@@H]1CN(Cc2cn(-c3ccc(F)cc3Cl)nn2)C[C@@H](C)S1,-30.74
CCOC(=O)CN(CC(C)C)C(=O)[C@@H]1C[C@H]1c1ccco1,-29.13
C[C@@H](c1ccccc1)N(C)C(=O)N[C@@H]1CCN(C(=O)OC(C)(C)C)C1,-21.6
C[C@H]1NC(=O)CC[C@H]1NC(=O)c1n[nH]c2ccccc21,-33.74
COc1ccc(S[C@H](C)C(=O)N2CC[C@H](OC(F)F)C2)cc1,-31.96
C[C@H](NS(=O)(=O)c1cnc2ccccc2c1)C(=O)N(C)C,-41.26
COCCN(C)c1ccc(CNc2nnc(CC(C)(C)C)o2)cn1,-30.46
CC[C@H](C)N1CCN(C[C@@H](O)COc2ccccc2)CC1,-21.87
C[C@@H]1C[C@H](C)[C@@H](C(=O)N[C@H]2CCN(C(C)(C)C)C2=O)O1,-23.41
CC(C)C[C@@H](CO)N[C@@H](C)CS(=O)(=O)c1ccccc1,-20.01
CCCCn1cc(CNC(=O)CCc2ncccn2)c(C)n1,-32.8
O=C(Nc1cc(F)cc([N+](=O)[O-])c1)c1noc2c1CCCC2,-40.64
CC[C@@H](C)CNC(=O)NCc1cccc(OC)c1,-28.15
Cc1cc(N2CCC[C@@H](NC(=O)c3ccon3)C2)nc(C)n1,-33.74
C[C@H]1CC[C@H](CNS(=O)(=O)Cc2ccc(F)cc2F)C1,-34.53
C[C@@H](N[C@@H]1CCCN(c2ncccn2)C1)c1ccc(F)c(F)c1,-20.17
CCN1c2ccccc2[C@@]2(Nc3ccccc3C(=O)N2CC)C1=O,-23.9
COC1(C)CN(C(=O)NCCN2CCOCC2)C1,-23.67
CC(=O)c1ccc(NC(=O)C(=O)N[C@H]2CCOC(C)(C)C2)cc1,-34.8
C[C@]12CCC(=O)N1[C@@H](C(=O)NCC(=O)c1cccs1)CS2,-26.1
C[C@H](CCN(C)C)NC(=O)CN1CCS(=O)(=O)CC1,-23.14
COCCN1CC[C@@H](NC(=O)N2C[C@@H](OC)C[C@H]2COC)C1,-23.21
C[C@H](NCC1(N2CCOCC2)CCCCC1)c1cn2ccccc2n1,-15.9
