SMILES,dockscore
Cc1ccc(C(=O)Nc2cc(CCO)ccn2)c(C(C)C)n1,-27.62
CNC(=O)N[C@H]1CCN(C(=O)C(=O)NC[C@H](C)N2CCC(C)CC2)C1,-27.89
C[C@@H](C(=O)N1CCC(C(=O)NCc2ccc(F)cc2)CC1)C1CCC1,-30.08
COC[C@H](NC(=O)c1ccc(NC(C)=O)cc1)c1cccc(OC)c1,-29.79
Cc1nn(C(C)(C)C)cc1[C@@H](C)NC(=O)C[C@H](O)C(C)C,-27.49
Cc1cc(S(=O)(=O)Nc2ccc(OCCO)c(C)c2)sc1Cl,0.26
CC(C)C(=O)c1ccc(NC(=O)C(=O)N[C@@H]2CC23CCCCC3)cc1,-33.92
CCn1cc(S(=O)(=O)N2CCOC[C@@H]2CC(C)=O)cn1,-19.29
Cc1ccn(-c2ccccc2C(=O)N[C@@H](C)[C@H]2CCCO2)n1,-29.82
C[C@H](NC(=O)CCc1ccc(F)cc1)c1ccncc1F,-36.44
C[C@@H]1C[C@@H](C)[C@@H](C)N(C(=O)C(=O)NCc2ccnc3ccnn32)C1,-41.73
CC[C@@H](C(=O)Nc1nc(SCCO)n[nH]1)c1cccc(C(F)(F)F)c1,-35.31
CC(C)[C@@H]1CCC[C@H](NC(=O)N2CC[C@H](O)C(C)(C)C2)C1,-18.17
CC[C@H]1CN(C(=O)C(=O)NCc2ncc3c(n2)CCOC3)C[C@@H](C)O1,-42.92
O=C(CNC(=O)c1ccc(OC[C@H]2CCCO2)cc1)NCC1CC1,-23.4
CCOCCO[C@H](C)C(=O)NC[C@H]1CC(c2ccc(C)cc2)=NO1,-33.5
CC(C)OCC(=O)Nc1ccc(CCN(C)C)cc1,-19.95
Cc1cn(C)nc1NS(=O)(=O)N1CCOCC1,-21.97
COC(=O)c1ccc(NC(=O)[C@@H](CC2CCC2)NC(C)=O)nc1,-32.0
COCc1n[nH]c(CNC(=O)[C@@H]2CC[C@@H]2c2ccc(Cl)cc2F)n1,-28.13
COc1ccc(C(=O)Nc2ccc(N3CCNCC3)cn2)c(O)c1,-26.06
C[C@@H]1C[C@H](NC(=O)N[C@@H]2CCCn3nccc32)CCO1,-24.45
CCCCN1CCC(NC(=O)NCCCCN)CC1,-33.54
COC[C@@H](NC(=O)c1cc2n(n1)CCO2)[C@H]1CCCO1,-24.67
O=C(N[C@H]1C[C@@H]1c1c(F)cccc1F)c1ccc([N+](=O)[O-])s1,-37.31
COc1ccc(Br)c(CN2CC[C@@H](O)[C@H](CO)C2)c1,-41.76
CCS(=O)(=O)c1cc(F)ccc1NC(=O)C(=O)N1CCOCC[C@@H]1C,-25.95
COC(=O)c1ccc(Cl)c(NC(=O)c2ccn(C)c(=O)c2)c1C,-23.14
Cn1cnc(S(=O)(=O)NC[C@](C)(C(=O)O)c2ccccc2)c1,4.62
COC(=O)C(C)(C)CNC(=O)N1CC[C@@](C)(c2ccccc2)C1,-25.21
Cn1cc([C@H]2OCCC[C@@H]2NS(=O)(=O)Cc2ccccc2)cn1,-23.14
C[C@@H](c1ccncc1)N1CCC(NC(=O)CC2CCN(C)CC2)CC1,-20.44
NC(=O)C[C@@H]1CCN(C(=O)c2ccccc2COc2ccccc2)C1,-34.73
O=C(Nc1cnc(-c2ccc(Cl)s2)nc1)C1CCOCC1,-35.62
O=S(=O)(CC1CCC1)NCCc1nnnn1-c1ccccc1,-23.37
NC(=O)[C@@H]1CC[C@H](CNC(=O)N2CC[C@@H](N3CCCC3)C2)O1,-25.77
C[C@@H]1[C@@H](Cc2ccccc2)CCN1C(=O)C(=O)N1CCO[C@@H](CN)C1,-17.76
Cc1cc(NC(=O)[C@@H](c2ccc(F)cc2)C(C)C)n(C)n1,-35.7
N#Cc1ccc(NC(=O)N2CCc3ncnc(O)c3C2)cc1,-33.45
COC(=O)[C@@H](NCCCNc1nccnc1C#N)C(C)C,-48.51
Cc1oc(C(C)C)nc1C(=O)N1CCC=C(c2ccco2)C1,-27.67
C[C@H](N)c1ccc(CNCc2cc(Cl)cc(Cl)c2)cc1,-34.0
C[C@@](O)(CNC(=O)NCCCN1CCCC1=O)c1ccc(F)cc1,-28.58
CCNc1ncc(C(=O)N[C@@]2(CO)COc3ccccc3C2)s1,-17.45
CCc1nocc1-c1nc([C@H]2CC(=O)N(Cc3ccccc3)C2)no1,-41.82
COC(=O)c1cc(CN[C@@H](CCO)c2ccc(Cl)cc2)cs1,-46.34
CCOC(=O)c1nc(C)[nH]c1NC(=O)[C@H](C)Oc1ccc(Cl)cc1C,-31.44
COC(=O)[C@H](CC(C)C)NC(=O)c1ccc(-c2ccc(C)nn2)cc1,-37.69
C[C@H](C(=O)NC(C)(C)C)N(C)S(=O)(=O)c1ccc(F)cc1F,-32.42
CC1(CNC(=O)Nc2cncnc2)OCCCO1,-34.95
COc1ccc(-c2nnc(N3C[C@H](C)O[C@@]4(CCCOC4)C3)o2)cc1,-34.41
COCCOCCc1ncc(C(=O)N[C@@H]2c3ccccc3O[C@@H]2C)[nH]1,-34.35
COC[C@H](CNC(=O)N1C[C@H](O)C[C@H](C(=O)OC)C1)OC,-23.82
Cc1ccc(CN(C(=O)CC2CCC2)C2CC2)cc1C,-23.12
CCOC(=O)N1CCC[C@H]([C@H](C)Nc2nccc(C)n2)C1,-26.74
c1nc2n(n1)[C@@H](CS[C@@H]1CCCN(Cc3ccccc3)C1)CC2,-35.4
NC(=O)COc1ccc(C(=O)NC[C@H]2CCCCS2)cc1,-28.71
CCCc1cnc(NC(=O)N2CCC[C@@H](C3CCNCC3)C2)s1,-36.02
C[C@@H](NS(=O)(=O)c1ccc(C2CC2)cc1)c1cccc(C#N)c1,-39.51
C=CCNC(=O)CN1CCN(C(=O)C(=O)N[C@H]2CC[C@@H](C)C2)CC1,-25.65
C[C@@H]1CO[C@H](c2cccc(Cl)c2)CN1C(=O)CNC(=O)CC(C)(C)C,-30.51
CC(C)C[C@@H]1CCN(C(=O)C(=O)N2C[C@@H](C)NC[C@H]2C)C1,-20.25
O=C(N[C@@H]1CCCN(c2ncccn2)C1)N1C[C@@H](O)C[C@@H]1CO,-15.19
C[C@@H](NC(=O)CN1CC[C@H](n2ncc3ccccc32)C1)C(=O)N(C)C,-55.59
O=C(c1csc(Cc2ccc(F)cc2)n1)N1CC[C@@H]2OCC[C@@H]2C1,-32.95
O=C(NCc1ccc(Cl)c(Cl)c1)NC[C@@H]1CCCNC1=O,-35.28
COc1ccc2c(c1)nc(CNC(=O)c1ccc(C)cc1OC)n2C,-33.31
CNC(=O)CCOc1ccc(NC(=O)N[C@H]2CCCC(F)(F)C2)cc1,-26.66
COC(=O)c1cc(S(=O)(=O)N[C@H](C)c2nc[nH]n2)c(C(=O)OC)s1,-21.45
COc1cc(NC(=O)C(=O)N2CCO[C@H](CN(C)C)C2)nn1C,-30.1
NS(=O)(=O)c1ccc([N+](=O)[O-])cc1N1CCC[C@H](n2cncn2)C1,-30.63
Cc1nc(-c2ccc(CNC(=O)N(C)[C@@H]3CCCOC3)cc2)cs1,-29.38
CC(=O)N/C(=C/c1ccccc1)C(=O)NC[C@@H](C)c1c(C)noc1C,-22.18
CO[C@H](C)CC(=O)N1CCC(CN2CCN(C)CC2)CC1,-39.21
Oc1cccc2c1CCC[C@@H]2NCC[C@@H]1CCCOC1,-27.42
Cn1cc(S(=O)(=O)N2CCC[C@@H]2[C@H]2CCCCC2=O)cc1C(N)=O,-12.88
CC(C)(C)OC(=O)Nc1cccc(C(=O)N2CCc3n[nH]cc3C2)c1,-22.7
C/C=C\C[C@H](CO)NC(=O)Cc1ccccc1OC,-26.18
COC1([C@@H](C)NCc2nn(C)c3ccccc23)CCCCC1,-45.32
Cc1noc(-c2ccccc2)c1NC(=O)C(=O)NOC1CCCC1,6.99
Cc1nc2ccccc2n1CCCNC(=O)CCCCCC#N,-24.52
CC[C@H](Sc1nc(C)cc(N)n1)C(=O)Nc1ccc(OC)cc1,-34.33
C=CCN(C)C(=O)NCCc1nc(-c2ccc(Cl)cc2)no1,-36.17
COCCNC(=O)[C@@H]1CC[C@H](C)N(C(=O)N[C@H]2CS[C@H](C)C2)C1,-4.03
COC[C@@H]1C[C@@H](O)CN1C(=O)NCCCN1CCC(C)CC1,-21.16
CCOC[C@H](C)CS(=O)(=O)NC[C@H]1CCO[C@H](C)C1,-28.07
CCn1cc([C@@H]2C[S@@](=O)CCN2CCN2CCO[C@@H](C)C2)cn1,-12.85
O=C(CNc1ccc(C(=O)NCC(F)(F)F)cc1)NCC(F)(F)F,-24.52
COc1ccc(C(=O)CCCC(=O)Nc2ccc(O)cc2)cc1,-38.77
Cc1ccc(CN[C@@H](C)c2ccc(OC(C)C)cc2)cn1,-33.49
CC(C)(C)NCCNCc1cn([C@@H]2CCNC2)nn1,-28.67
